SampleID	group	dye	slide	area	array	RIN	Qubit_conc	dye_conc	dye_activity	n.mice	operator	date	file
full_23	Fullerene	cy3	s252800520993	1_1	252800520993_1_1	8.6	422.8	325.25	18.263	2	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_1_1.txt
gnf_16	GNF	cy3	s252800520993	1_2	252800520993_1_2	8.5	286.32	349.14	17.815	2	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_1_2.txt
bayt_17	Baytubes	cy3	s252800520993	1_3	252800520993_1_3	8.7	512.61	226.49	15.453	2	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_1_3.txt
tcnt_8	tCNT	cy3	s252800520993	2_1	252800520993_2_1	9.1	335.01	299.57	0	2	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_2_1.txt
ses_12	SES	cy3	s252800520993	2_3	252800520993_2_3	8.6	315.98	303.43	0.165	3	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_2_3.txt
bayt_18	Baytubes	cy3	s252800520993	2_4	252800520993_2_4	8.7	212.93	308.33	14.757	2	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_2_4.txt
ctrl_3	Ctrl	cy3	s252800520994	1_1	252800520994_1_1	8.9	124.26	340.16	18.932	2	natm	22.9.2014	US11263921_252800520994_S01_GE2_1105_Oct12_1_1.txt
ses_10	SES	cy3	s252800520994	1_2	252800520994_1_2	8.7	298.68	299.16	24.97	2	natm	22.9.2014	US11263921_252800520994_S01_GE2_1105_Oct12_1_2.txt
gnf_14	GNF	cy3	s252800520994	1_4	252800520994_1_4	8.5	280.89	304.96	18.002	2	natm	22.9.2014	US11263921_252800520994_S01_GE2_1105_Oct12_1_4.txt
ctrl_1	Ctrl	cy3	s252800520994	2_1	252800520994_2_1	9	220.83	193.02	18.962	2	natm	22.9.2014	US11263921_252800520994_S01_GE2_1105_Oct12_2_1.txt
rcnt_5	rCNT	cy3	s252800520995	1_1	252800520995_1_1	9.1	467.62	197.3	25.291	2	tsui	6.10.2014	US11263921_252800520995_S01_GE2_1105_Oct12_1_1.txt
full_24	Fullerene	cy3	s252800520995	2_3	252800520995_2_3	8.5	289.37	339.05	23.448	2	tsui	6.10.2014	US11263921_252800520995_S01_GE2_1105_Oct12_2_3.txt
gnf_15	GNF	cy5	s252800520993	1_1	252800520993_1_1	8.5	278.86	334.62	19.814	2	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_1_1.txt
rcnt_4	rCNT	cy5	s252800520993	1_2	252800520993_1_2	8.7	253.34	162.21	14.487	3	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_1_2.txt
tcnt_7	tCNT	cy5	s252800520993	1_3	252800520993_1_3	8.4	267.68	252.83	20.132	3	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_1_3.txt
ses_11	SES	cy5	s252800520993	2_1	252800520993_2_1	8.8	243.79	330.15	2.151	2	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_2_1.txt
bayt_19	Baytubes	cy5	s252800520993	2_3	252800520993_2_3	8.7	345.04	231.78	1.898	2	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_2_3.txt
ctrl_2	Ctrl	cy5	s252800520993	2_4	252800520993_2_4	8.9	225.7	362.35	19.705	3	natm	17.9.2014	US11263921_252800520993_S01_GE2_1105_Oct12_2_4.txt
bayt_20	Baytubes	cy5	s252800520994	1_1	252800520994_1_1	8.7	316.62	382.83	26.853	2	natm	22.9.2014	US11263921_252800520994_S01_GE2_1105_Oct12_1_1.txt
full_22	Fullerene	cy5	s252800520994	1_2	252800520994_1_2	8.5	299.59	363.73	27.108	2	natm	22.9.2014	US11263921_252800520994_S01_GE2_1105_Oct12_1_2.txt
rcnt_6	rCNT	cy5	s252800520994	1_4	252800520994_1_4	9.2	554.125	326.2	23.237	2	natm	22.9.2014	US11263921_252800520994_S01_GE2_1105_Oct12_1_4.txt
gnf_13	GNF	cy5	s252800520994	2_1	252800520994_2_1	8.5	256.89	3.69	37.94	2	natm	22.9.2014	US11263921_252800520994_S01_GE2_1105_Oct12_2_1.txt
full_21	Fullerene	cy5	s252800520995	1_1	252800520995_1_1	8.3	365.75	271.99	21.582	2	tsui	6.10.2014	US11263921_252800520995_S01_GE2_1105_Oct12_1_1.txt
tcnt_9	tCNT	cy5	s252800520995	2_3	252800520995_2_3	9	347.57	356.21	21.346	2	tsui	6.10.2014	US11263921_252800520995_S01_GE2_1105_Oct12_2_3.txt
